pxcor,pycor,pcolor,plabel,plabel-color,name,accessibility,ward-number,density,total0,total00,b51,b52,b53,b54,b55,b201,b202,b203,b204,b205,b501,b502,b503,b504,b505,b1001,b1002,b1003,b1004,b1005,b5001,b5002,b5003,b5004,b5005,s51,s52,s53,s54,s55,s201,s202,s203,s204,s205,s501,s502,s503,s504,s505,s1001,s1002,s1003,s1004,s1005,s5001,s5002,s5003,s5004,s5005
-33,-4,0,,9.9,Hounslow Central,4,80,0.8,0.442307692,0.5,0.666666667,0,0.333333333,0,0,1,1,1,0.4,0.333333333,1,0.5,0,1,0,0.666666667,1,0.666666667,0.5,0,0.5,1,,0,,1,0.25,0,0.5,0,0.6,1,1,0,0,0.8,0.75,0.75,0.25,0,0,0.5,1,0.833333333,0,1,0.333333333,1,0.5,0
-30,-4,0,,9.9,Hounslow South,1.5,78,2,0.467889908,0.511278195,0.428571429,,0,0,0,0.4,0.166666667,0.25,0,0,0.5,0.75,0.375,0.25,0,0.428571429,1,1,0.666666667,0.8,0.571428571,0.8,0.6,1,0.25,0.6,0.2,0.333333333,0,0,0.666666667,0,0.2,0.428571429,0.2,1,1,0.6,0.571428571,0.555555556,0.5,0.666666667,0.714285714,0.571428571,1,0.5,0.7,0.333333333,0.4,0.666666667
-28,-4,0,,9.9,Isleworth,1.5,79,1.833333333,0.601626016,0.351955307,0.5,0.142857143,0.333333333,0,0,0.666666667,0.333333333,0.428571429,0.5,0,1,0.666666667,0.75,0.571428571,1,0.571428571,0.571428571,1,0.857142857,1,0.571428571,1,0.333333333,1,1,0.142857143,0.181818182,0.1,0,0,0.428571429,0.285714286,0.142857143,0,0,0.444444444,0.625,0.6,0.166666667,0.4,0.785714286,0.2,0.222222222,0.2,0.25,0.8,0.6,0.428571429,0.583333333,0.363636364
-27,-4,0,,9.9,North Richmond,2,393,1.125,0.654676259,0.520710059,1,0.333333333,0.375,0,0,0.777777778,1,0.5,1,0.5,0.8,0.777777778,0.875,0.333333333,0.5,0.666666667,0.8,1,1,0.875,0.714285714,0.6,1,1,0.333333333,0.555555556,0.5,0.375,0,0,0.5,0.2,0.4,0.285714286,0.428571429,0.4,0.6,0.714285714,0.75,0.571428571,0.857142857,0.833333333,0.571428571,0.857142857,0.375,0.555555556,0.888888889,0.833333333,0.5,0.2
-22,-4,0,,9.9,Mortlake and Barnes Common,2,396,2.75,0.405315615,0.413043478,0.466666667,0.285714286,0.214285714,0,0,0.5,0.416666667,0.636363636,0.166666667,0.076923077,0.4,0.466666667,0.5,0.2,0.4,0.666666667,0.526315789,0.6,0.357142857,0.529411765,0.545454545,1,0.4,0.611111111,0.6,0.5,0.5,0.111111111,0,0,0.666666667,0.235294118,0.444444444,0.294117647,0.285714286,0.333333333,0.6,0.5,0.384615385,0.666666667,0.75,0.8,0.428571429,0.454545455,0.166666667,0.454545455,0.526315789,0.388888889,0.625,0.428571429
-17,-4,0,,9.9,Thamesfield,4,426,4.666666667,0.530927835,0.376842105,0.65,0.333333333,0.5,0,0,0.578947368,0.538461538,0.545454545,0.315789474,0.066666667,0.714285714,0.6,0.722222222,0.578947368,0.4,0.583333333,0.636363636,0.75,0.75,0.578947368,0.6,0.684210526,0.5,0.85,0.6,0.5,0.15,0.375,0.0625,0,0.461538462,0.470588235,0.263157895,0.173913043,0.25,0.380952381,0.55,0.470588235,0.388888889,0.217391304,0.466666667,0.434782609,0.444444444,0.3,0.411764706,0.666666667,0.416666667,0.428571429,0.428571429,0.476190476
-10,-4,0,,9.9,Latchmere,6,441,9,0.567741935,0.450581395,0.5,0.681818182,0.391304348,0.153846154,0.157894737,0.466666667,0.857142857,0.555555556,0.647058824,0,0.80952381,0.592592593,0.785714286,0.47826087,0.2,0.928571429,0.619047619,0.739130435,0.65,0.65,0.642857143,0.733333333,0.782608696,0.588235294,0.642857143,0.428571429,0.394736842,0.518518519,0.060606061,0.037037037,0.526315789,0.392857143,0.7,0.32,0.12,0.482758621,0.518518519,0.541666667,0.5,0.366666667,0.52173913,0.583333333,0.5,0.473684211,0.53125,0.757575758,0.52173913,0.485714286,0.517241379,0.555555556
-8,-4,0,,9.9,Shaftesbury,6,444,14.33333333,0.583941606,0.391483516,0.545454545,0.518518519,0.470588235,0.045454545,0.111111111,0.545454545,0.586206897,0.6,0.375,0.153846154,0.826086957,0.684210526,0.666666667,0.516129032,0.5,0.8,0.826086957,0.869565217,0.666666667,0.789473684,0.882352941,0.75,0.588235294,0.692307692,0.833333333,0.424242424,0.238095238,0.516129032,0.078947368,0,0.458333333,0.321428571,0.5,0.285714286,0.088235294,0.461538462,0.527777778,0.413793103,0.384615385,0.269230769,0.571428571,0.594594595,0.347826087,0.4375,0.371428571,0.586206897,0.5,0.484848485,0.434782609,0.484848485
-6,-4,0,,9.9,Clapham Town,5,227,17,0.648340249,0.455764075,0.673913043,0.564102564,0.6,0.033333333,0.055555556,0.863636364,0.666666667,0.7,0.407407407,0.268292683,0.711111111,0.756756757,0.731707317,0.615384615,0.729166667,0.714285714,0.722222222,0.838709677,0.70212766,0.688888889,0.805555556,0.810810811,0.804347826,0.707317073,0.717948718,0.595744681,0.463414634,0.465116279,0.033333333,0.023255814,0.534482759,0.545454545,0.448979592,0.327868852,0.209302326,0.637931034,0.465116279,0.510204082,0.30952381,0.361702128,0.45,0.543478261,0.418604651,0.319148936,0.536585366,0.58974359,0.725,0.744680851,0.487179487,0.487179487
-3,-4,0,,9.9,Ferndale,6,219,16.33333333,0.580065359,0.427207637,0.571428571,0.666666667,0.535714286,0.05,0.15,0.625,0.692307692,0.714285714,0.375,0.303030303,0.617647059,0.724137931,0.5,0.545454545,0.518518519,0.692307692,0.769230769,0.576923077,0.470588235,0.636363636,0.75,0.736842105,0.696969697,0.714285714,0.782608696,0.52,0.527777778,0.296296296,0.057142857,0,0.621621622,0.548387097,0.357142857,0.171428571,0.1,0.464285714,0.5,0.545454545,0.272727273,0.387096774,0.6,0.457142857,0.488372093,0.542857143,0.477272727,0.727272727,0.53125,0.545454545,0.621621622,0.361111111
