pxcor,pycor,pcolor,plabel,plabel-color,name,accessibility,ward-number,density,total0,total00,b51,b52,b53,b54,b55,b201,b202,b203,b204,b205,b501,b502,b503,b504,b505,b1001,b1002,b1003,b1004,b1005,b5001,b5002,b5003,b5004,b5005,s51,s52,s53,s54,s55,s201,s202,s203,s204,s205,s501,s502,s503,s504,s505,s1001,s1002,s1003,s1004,s1005,s5001,s5002,s5003,s5004,s5005
-10,37,0,,9.9,Cockfosters,1.5,309,0.0625,0.636363636,0.181818182,0,,1,1,,,1,0,,0.5,,1,,1,0.5,1,1,,0.333333333,,,0.666666667,,,1,0,0,0,0,0,0.5,0,0,0,0,,,0,0,,,,,0,0.5,,1,0.5,1,0.5
-15,34,0,,9.9,High Barnet,1.5,189,0.827586207,0.493865031,0.39787234,0.466666667,0.230769231,0.307692308,0,0,0.5,0.5,0.461538462,0.45,0,0.666666667,0.583333333,0.545454545,0.529411765,0.642857143,0.769230769,0.75,0.363636364,0.625,0.571428571,0.533333333,0.692307692,0.692307692,0.555555556,0.6,0.428571429,0.052631579,0.230769231,0.043478261,0,0.347826087,0.666666667,0.352941176,0.352941176,0.074074074,0.48,0.529411765,0.5,0.5,0.307692308,0.529411765,0.636363636,0.555555556,0.533333333,0.55,0.705882353,0.266666667,0.473684211,0.578947368,0.5
-11,32,0,,9.9,East Barnet,2,205,0.090909091,0.2,0.380952381,,,0,,,,,0,,,,,,,,,,0,,,0,,1,,,0,0,0,,0,,,,,0,,,1,,,0.5,0,,0,0,1,0,1,1,0.5
-15,31,0,,9.9,Underhill,1.5,188,0.615384615,0.4375,0.416149068,0,1,0.5,0,0,0.75,0,0.333333333,0,0.333333333,0.666666667,0.75,0.4,1,0.333333333,0.75,1,0.571428571,0.5,0.25,0.666666667,0.25,0.666666667,0.8,0.333333333,0.5,0.090909091,0.4,,0,1,0.428571429,0.8,0,0.222222222,0,0.125,0.714285714,0.75,0.333333333,0.166666667,0.222222222,0.8,0.8,0.833333333,0.5,0.625,0.25,0.666666667,0.714285714
-12,30,0,,9.9,Oakleigh,2,201,0.7,0.505376344,0.413333333,0.25,0.5,0.5,0,0,0.75,1,0.75,0.25,0.25,0.666666667,0,1,0.4,0.5,0.8,0.75,1,0.714285714,0,1,0.75,0.75,0,0.5,0.4,0.111111111,0,0,0,0.666666667,0.714285714,0.333333333,0.166666667,0.222222222,0.25,0.285714286,1,0.166666667,0.285714286,0.8,0.833333333,0.857142857,0.75,0.5,0.666666667,0.333333333,0.666666667,0.4,0.384615385
-23,29,0,,9.9,Hale,1.5,199,1.736842105,0.480295567,0.34352518,0.2,0.5,0.105263158,0,0,0.727272727,0.647058824,0.636363636,0.352941176,0,0.684210526,0.52173913,0.555555556,0.588235294,0.375,0.6875,0.6,0.5,0.466666667,0.5,0.5,0.736842105,0.619047619,0.5,0.785714286,0.4,0.111111111,0.037037037,0.033333333,0.086956522,0.266666667,0.259259259,0.318181818,0.25,0.083333333,0.45,0.583333333,0.551724138,0.304347826,0.315789474,0.2,0.411764706,0.391304348,0.571428571,0.333333333,0.555555556,0.5,0.56,0.464285714,0.526315789
-14,29,0,,9.9,Totteridge,1.5,200,1.923076923,0.504373178,0.401219512,0.444444444,0.230769231,0.107142857,0.052631579,0,0.769230769,0.615384615,0.6,0.380952381,0.291666667,0.694444444,0.545454545,0.5,0.608695652,0.28,0.555555556,0.769230769,0.523809524,0.592592593,0.612903226,0.642857143,0.59375,0.7,0.583333333,0.714285714,0.333333333,0.25,0.081081081,0.12,0,0.424242424,0.261904762,0.451612903,0.2,0.290322581,0.5,0.709677419,0.428571429,0.540540541,0.382352941,0.483870968,0.625,0.517241379,0.37037037,0.465116279,0.666666667,0.615384615,0.393939394,0.555555556,0.428571429
-29,28,0,,9.9,Canons,1.5,155,0.421052632,0.627659574,0.379746835,1,0.75,0.25,0,0,0.75,1,0.75,0.5,0.5,1,0.6,0.5,0.5,1,0.8,0.75,0.75,0.75,0,0.833333333,1,0.6,0.75,0.571428571,0,0.166666667,0,0,0,0.428571429,0,0.333333333,0.307692308,0.428571429,0.5,0.555555556,0.5,0.5,0.6,0.555555556,0.166666667,0.6,0.333333333,0.4,0.166666667,0.666666667,0.666666667,0.5,0.166666667
-26,28,0,,9.9,Edgware,1.5,197,1.666666667,0.524861878,0.40648855,0.636363636,0.2,0.222222222,0.0625,0,0.6875,0.928571429,0.266666667,0.375,0.5,0.714285714,0.666666667,0.615384615,0.352941176,0.333333333,0.5,0.555555556,1,0.526315789,0.4,0.666666667,0.7,0.875,0.625,0.727272727,0.375,0.045454545,0.090909091,0,0.142857143,0.25,0.428571429,0.47826087,0.4,0.058823529,0.428571429,0.666666667,0.454545455,0.2,0.291666667,0.739130435,0.5,0.5625,0.636363636,0.375,0.608695652,0.608695652,0.444444444,0.588235294,0.5
-8,28,0,,9.9,Brunswick Park,2,204,0.4,0.608695652,0.408450704,0.6,0.5,0,0,0,0.666666667,0.6,1,1,0,0.714285714,,1,0,1,,1,1,1,1,0.5,0.75,0,1,0.75,0.4,0.25,0.333333333,0,0,0.25,0.5,0,0.333333333,0,0.333333333,0.5,0.75,1,0.4,1,0.666666667,1,1,0.666666667,0.333333333,0,1,1,0
-31,27,0,,9.9,Stanmore Park,1,154,0.357142857,0.320754717,0.5,0.5,,0,,0,0,1,0.666666667,0,0,1,1,0.5,0.333333333,0,0,,0.333333333,0,0.5,0.5,0.5,0,0,0.666666667,0.333333333,0,0.2,0,0,0.8,0.5,0,,0.25,0,0.333333333,1,0.6,0.666666667,1,0.666666667,0,0.75,0.666666667,1,0.625,1,1,1
-50,26,0,,9.9,Harefield,1,125,0.924528302,0.476661952,0.384193194,0.333333333,0.272727273,0.260869565,0,0,0.76,0.53125,0.423076923,0.227272727,0.291666667,0.538461538,0.586206897,0.48,0.4,0.515151515,0.653846154,0.666666667,0.533333333,0.65625,0.411764706,0.733333333,0.46875,0.558823529,0.6,0.689655172,0.266666667,0.216216216,0.146341463,0.113636364,0,0.285714286,0.315789474,0.294117647,0.25,0.105263158,0.615384615,0.447368421,0.475,0.621621622,0.333333333,0.702702703,0.433333333,0.5,0.567567568,0.424242424,0.542857143,0.527777778,0.53125,0.547619048,0.35483871
-19,26,0,,9.9,Mill Hill,1.5,198,1.357142857,0.50204918,0.339506173,0.590909091,0.1,0.222222222,0,0,0.655172414,0.5,0.375,0.611111111,0.0625,0.590909091,0.5,0.666666667,0.473684211,0.565217391,0.611111111,0.636363636,0.5625,0.619047619,0.695652174,0.818181818,0.533333333,0.571428571,0.571428571,0.578947368,0.137931034,0.24,0.130434783,0.033333333,0,0.571428571,0.371428571,0.08,0.230769231,0.206896552,0.333333333,0.533333333,0.28,0.52,0.242424242,0.448275862,0.357142857,0.576923077,0.272727273,0.4,0.535714286,0.571428571,0.608695652,0.346153846,0.615384615
-5,26,0,,9.9,Southgate Green,3,320,0.333333333,0.804347826,0.341463415,0.666666667,,1,0,0,1,0.75,1,,,1,1,1,1,,1,0.666666667,0,1,1,0.75,1,1,,1,,0,0,0,0,0,0.5,0.75,0.5,0.5,0,1,0.333333333,,0,,,0,0,0,0.5,0.5,0.5,0.5,0.5
-2,26,0,,9.9,Palmers Green,2,312,0.166666667,0,0.272727273,0,0,0,0,,0,,0,0,,,,0,,0,,0,,0,,,,0,0,,,,,0,0,1,,,,0,,,,0,0.5,,,,1,,,0,,,
2,26,0,,9.9,Edmonton Green,2,313,0.111111111,0.8,0.6,,0,1,0,,1,,1,,0,1,1,1,1,,,1,,,,1,,1,1,,,1,0,0,,,,,1,,0.5,,,1,,,0,,,,1,,0.333333333,,1
-11,25,0,,9.9,Woodhouse,2,202,1,0.3875,0.282894737,0.2,0,0,0,0,0,0.5,0.4,0,0,0.5,0.333333333,0.5,0,0.5,0.833333333,0.666666667,0.666666667,0.666666667,0.4,0,0.5,1,0,0.75,0.166666667,0.4,0.111111111,0.2,0,0.333333333,0.25,0,0.166666667,0,0.833333333,0.571428571,0.5,0.166666667,0.142857143,0.333333333,0.333333333,0.833333333,0.4,0,0.428571429,0.428571429,0,0.142857143,0.4
-9,25,0,,9.9,Coppetts,2,203,1.222222222,0.454545455,0.465240642,0.444444444,0.2,0,0,0,0.625,0.625,0.4,0.2,0.142857143,0.6,0.571428571,0.571428571,0.375,0.333333333,0.8,0.428571429,0.416666667,0.444444444,0.363636364,0.625,0.6,0.625,0.5,0.875,0.571428571,0.25,0.222222222,0,0,0.545454545,0.714285714,0.5,0.285714286,0.3,0.666666667,0.444444444,0.5,0.625,0.375,1,0.75,0.75,0.75,0.75,0.555555556,0.375,0.625,0.5,0.2
-43,24,0,,9.9,Northwood,1,134,0.2,0.353846154,0.395604396,1,0,0,0,0,0.5,0.5,0,0,0,0.2,1,0.666666667,0.666666667,0.4,0,0.5,0,0.6,0.333333333,0.666666667,,1,1,0.5,0.2,0,0,0,0,1,0.6,0.6,0.333333333,0,0.6,0.2,0.5,0.5,0.333333333,0.4,0.285714286,0.5,0.5,1,,0.5,0.428571429,0.5,1
-12,24,0,,9.9,West Finchley,3,208,1,0.314049587,0.357664234,0.333333333,0.333333333,0.2,0,0,0.25,0.2,0.333333333,0,0.1,0.5,0.333333333,0.5,0.166666667,1,0.666666667,0.571428571,0,0.25,0.5,0.4,0,0.6,0.625,0.666666667,0.5,0.111111111,0,0,0,0.444444444,0,0.5,0.2,0.25,0.833333333,0.333333333,0.333333333,0.333333333,0,1,0.333333333,0.444444444,0.75,0.6,0.5,0.5,0.333333333,0.625,0
-1,24,0,,9.9,Upper Edmonton,2,311,0.25,0.65,0.322580645,,,,0,,1,1,,0,,0,,1,0.5,1,1,1,1,,0.75,,,,,,0.5,0.333333333,0,0,0,0.5,0,0,0.5,,0,0,,1,,,,0.333333333,0.5,0.5,0,1,0.5,,0
-39,23,0,,9.9,Northwood Hills,1.5,138,0.125,0,0.318181818,0,,,,,,,,0,,,,0,,,,,,,0,,,,0,,,0,,0,,0.25,0,,0,,1,1,,0,,,,,0,0.333333333,,1,0.5,,
-38,23,0,,9.9,Pinner,1.5,148,0.090909091,0.35,0.333333333,,,0,,,1,,,0,,0,,,0,1,,0,,0,0,,0.75,1,,0,,,,,0,,1,0,,,0,0,,,,0,,,0,0,0.5,,1,,
-27,23,0,,9.9,Belmont,1.5,163,0.5,0.473684211,0.272727273,,,0,0,0,0.666666667,,0.5,0,,,0.666666667,1,,0,0.5,0.5,0.666666667,1,,0.571428571,,,0.333333333,0.5,0.333333333,0,0,0,0,0.5,0,0.25,0.25,1,,0.333333333,,0.25,0.2,0,0,1,0.333333333,0,1,0.333333333,0.5,0,0.5
-6,23,0,,9.9,Bounds Green,4,572,1.4,0.451923077,0.434782609,0.8,0.666666667,0.25,0.4,0,0.4,0.5,0.333333333,0.25,0.125,0.75,0.5,0.5,0.333333333,0.333333333,0.6,0,0.714285714,1,0.2,,0.625,0.666666667,,,0.25,0.5,0,0.142857143,0,0.142857143,0.333333333,0.555555556,0.25,0.5,0.4,0.6,1,0.5,0.166666667,0.666666667,0.25,0.4,0.333333333,1,0.714285714,0.6,0.333333333,0.333333333,1
-1,23,0,,9.9,White Hart Lane,2,585,0.8,0.563380282,0.636363636,0,0,0.166666667,0,0,,,0,,0,0.666666667,1,0.6,0.6,,0.75,1,1,0.714285714,0.75,1,1,0.8,1,1,,0,,0,0,0.5,1,1,0.5,,0.5,1,0.571428571,0.833333333,1,0.8,0.666666667,1,0.5,0.833333333,1,0.5,1,1,0.75
2,23,0,,9.9,Northumberland Park,3,587,0.6,0.692307692,0.354166667,1,0,0,,0,0.666666667,0.5,,,1,,1,1,1,1,1,1,,,0.75,0.5,,0.6,1,1,0,0,,0,0,0,0.666666667,,0.5,0,0.75,1,0,0,0,0.666666667,1,0,0,1,0,,0.5,,0.5
6,23,0,,9.9,Higham Hill,1.5,330,0.727272727,0.568965517,0.4,0.4,1,0.4,0,0,1,0.333333333,0.714285714,0.5,0.25,1,0.8,0.75,0.5,0.571428571,1,0.5,0.333333333,0.4,0.5,0.8,0.833333333,0.6,0.714285714,0.833333333,0,0.333333333,0.166666667,0,0,0.4,0.5,0.666666667,0.666666667,0,0.25,1,0.4,0.2,0.4,0.4,0.5,0.333333333,0.571428571,0.8,0.5,0.571428571,0.25,0.666666667,0.333333333
25,23,0,,9.9,Aldborough,1,354,0.038461538,0.083333333,0.5,,,,,0,,0,0,,0,,0,,,,,0,0,,,,1,0,,0,,0,0,0,,,1,0.5,0.333333333,,1,1,,,1,0.5,0,,,,1,0,,,
-22,22,0,,9.9,Burnt Oak,3,206,0.285714286,0.4,0.540540541,,0.5,,,0,0,,,1,0,,,1,,0,,0.5,,,0,,,,,,0,0.333333333,,0,0,1,0,0.5,0,0,0,1,0.333333333,1,1,,0.75,0.5,1,0.666666667,1,0.5,1,,1
-19,22,0,,9.9,Colindale,2,192,0.142857143,0.095238095,0.6,0,0,0,,,0,,0,,0,1,0,0,,0,0,,0,0,,0,,0.5,,,1,,0,,,,,,,,,,,,,,,,,,1,0,1,,
-9,22,0,,9.9,East Finchley,1.5,196,2.75,0.48852459,0.352459016,0.4,0.384615385,0.555555556,0.0625,0.1,0.636363636,0.428571429,0.615384615,0.214285714,0.076923077,0.888888889,0.5,0.333333333,0.555555556,0.5,0.727272727,0.583333333,0.666666667,0.363636364,0.75,0.6,0.882352941,0.545454545,0.5,0.384615385,0.166666667,0.470588235,0.428571429,0,0,0.466666667,0.076923077,0.2,0.307692308,0.230769231,0.294117647,0.461538462,0.4375,0.333333333,0.307692308,0.272727273,0.2,0.523809524,0.733333333,0.5,0.411764706,0.384615385,0.416666667,0.583333333,0.3125
-6,22,0,,9.9,Alexandra,2,577,1.571428571,0.420118343,0.355329949,0.333333333,0.5,0.428571429,0,0,0.666666667,0.5,0.6,0,0.111111111,0.5,0.666666667,0.666666667,0.2,0.333333333,0.6,0.714285714,0.6,0.5,0.666666667,0,0.5,0.625,0.666666667,0.4,0.666666667,0.25,0.25,0,0,0,0.4,0.4,0.375,0.153846154,0.5,0.4,0.5,0.5,0.181818182,0.75,0.5,0.714285714,0.375,0.6,0.555555556,0.333333333,0,0.2,0
-3,22,0,,9.9,Woodside,3,579,1.666666667,0.527777778,0.448,0.5,,1,0,0,1,,0.75,0.2,0.166666667,0.5,0.333333333,0.333333333,0.5,1,0.833333333,1,1,0,0.75,1,0,0,1,0.6,0.5,0,0.666666667,0,0,0.555555556,1,0,0.5,0,0.4,0.333333333,0.5,0.4,0.2,0.428571429,0.666666667,0.714285714,0.857142857,0.6,1,1,0.375,1,0.5
8,22,0,,9.9,Chapel End,2,341,0.5,0.240740741,0.532467532,0,0,0,0,0,0.5,0,,0,0,0.5,1,0,0,0,1,0.333333333,0.333333333,,0,0.5,0.5,0,,1,1,0,0.666666667,0.333333333,0,0.5,0.666666667,1,0.2,0.5,0.5,1,1,1,0.25,,0.2,0.4,1,1,0.666666667,0.666666667,1,0,1
-25,21,0,,9.9,Queensbury,2,165,1,0.576271186,0.245614035,0.5,0.666666667,0,0.666666667,0,0,0.5,1,1,0.333333333,0.333333333,1,0,1,1,1,0.666666667,0.5,0.5,0.666666667,0.666666667,1,1,1,0,0.166666667,0.166666667,0.333333333,0,0,0,0.25,0.25,0,0,0,0.25,0,0.333333333,0.375,0.285714286,0.5,0.25,0.2,0.333333333,0,0,0.5,0.75,0.333333333
-18,21,0,,9.9,Hendon,2,207,0.1,0.95,0.533333333,1,1,,,,1,1,,1,,1,1,,,1,1,0,,,1,1,1,1,,1,,,,,0,,,,,,1,1,0.333333333,0,,,,,1,0.5,1,1,,0,
-15,21,0,,9.9,Finchley Church End,2,195,1.25,0.766666667,0.52238806,0.875,1,0.333333333,0,0,1,1,0.8,1,0.333333333,1,0.857142857,1,1,0.833333333,1,1,1,0.714285714,1,1,0.8,0.875,0.75,0.857142857,0,0.5,0.666666667,0,0,0.666666667,0.333333333,0.555555556,0.375,0.25,0.833333333,0.5,0.75,0.7,0.625,0.8,1,0.714285714,0.4,0.533333333,0.75,0.714285714,0.666666667,0.375,0.714285714
-9,21,0,,9.9,Fortis Green,2,571,4.428571429,0.65776699,0.47166362,0.8125,0.555555556,0.684210526,0.111111111,0,0.933333333,0.705882353,0.722222222,0.266666667,0.222222222,0.842105263,0.8,0.8,0.684210526,0.684210526,0.8,0.722222222,0.5,0.833333333,0.714285714,0.727272727,0.777777778,0.571428571,0.692307692,0.730769231,0.407407407,0.235294118,0.346153846,0.130434783,0.035714286,0.538461538,0.62962963,0.391304348,0.227272727,0.272727273,0.368421053,0.461538462,0.636363636,0.352941176,0.5,0.76,0.5,0.555555556,0.736842105,0.5,0.75,0.7,0.555555556,0.666666667,0.523809524
-2,21,0,,9.9,Noel Park,5,578,2.666666667,0.640776699,0.427745665,0.5,0.75,0.75,0,0,0.666666667,0.6,1,0,0.428571429,1,1,1,0.25,0.333333333,1,1,1,0.75,0.666666667,,0.833333333,0.857142857,0.666666667,0.5,0.428571429,0.5,0.454545455,0.125,0.166666667,0.545454545,0.625,0.166666667,0.444444444,0.4,0.333333333,0.666666667,0.454545455,0.6,0,0.5,0.375,0.333333333,0.25,0.25,1,0.4,0.666666667,0.4,0
-1,21,0,,9.9,West Green,3,583,2.4,0.483221477,0.408256881,0.666666667,0.2,0.5,0,0,0.428571429,0.454545455,0.6,0.8,0.142857143,1,0.444444444,0.5,0.333333333,0.4,0.5,0,0.727272727,0.666666667,0.4,0.833333333,1,0.75,0.6,0.166666667,0.444444444,0.444444444,0.416666667,0.076923077,0.111111111,0.444444444,0.5,0.333333333,0.363636364,0.2,0.75,0.285714286,0.428571429,0.333333333,0.25,0.666666667,0.5,0.375,0.571428571,0.4,0.545454545,0.25,0.6,0.375,0.571428571
1,21,0,,9.9,Bruce Grove,4,586,2,0.345454545,0.227848101,0,0.333333333,1,0,0,1,0,0.333333333,0,0,1,0.5,0.333333333,0,0.5,0.333333333,0.666666667,0.5,,0,0.666666667,1,0.25,0.5,0.142857143,0,0,0,0,0,0,0.2,0,0.25,0.5,0.5,0.5,1,0.5,0,0.5,,0,,0.285714286,1,0,1,0.333333333,0
2,21,0,,9.9,Tottenham Hale,4,584,0.833333333,0.65,0.434210526,0,0.428571429,0,0.5,1,0.666666667,1,1,0.5,0,0.666666667,1,1,0.5,1,1,1,,1,1,1,0.75,0.666666667,0.666666667,1,0.666666667,0.4,0,,0,0.833333333,0.5,0.666666667,0.4,0.333333333,0.2,,0,0,0.5,0.666666667,,0.333333333,0.333333333,0.25,0.75,0.666666667,0.666666667,0.285714286,0
-28,20,0,,9.9,Kenton West,2,161,0.8,0.23255814,0.509433962,0.5,0,0,0,0,1,0,0.5,0,0,0,0.5,,0,,0.5,0.666666667,0.5,0,0,,1,0,0.333333333,0,1,0.333333333,,0.333333333,0,0.5,0.333333333,1,1,0.666666667,0.75,0.333333333,0.333333333,1,1,0.333333333,,1,0,0,1,0.5,0.5,0.5,
7,20,0,,9.9,William Morris,2,338,1,0,0.3,0,,,,,,,0,,,,0,,,,0,,,,,,,,,,,0,,0,0,0,0,0,,0,1,0,,1,,1,0.25,,1,,,1,0,,
10,20,0,,9.9,Wood Street,2,340,0.4,1,0.47826087,,,1,,1,1,,1,1,,,,1,1,,1,,,1,1,1,1,,,1,,0,0,,0,,1,,0,,1,,0.5,,0.5,0.666666667,1,0.5,1,,0.5,,,0,
-44,19,0,,9.9,West Ruislip,1.5,133,1.266666667,0.448113208,0.343324251,0,0.3,0.111111111,0,0,0.571428571,0,0.333333333,0.222222222,0,0.6,0.571428571,0.6,0.6,0.375,0.714285714,0.785714286,0.857142857,0.5,0.5,0.642857143,0.125,0.571428571,0.6,0.571428571,0.2,0.157894737,0.0625,0,0,0.4375,0.5,0.538461538,0.615384615,0.142857143,0.526315789,0.384615385,0.428571429,0.153846154,0.25,0.714285714,0.5625,0.571428571,0.333333333,0.384615385,0.384615385,0.461538462,0.470588235,0.230769231,0.368421053
-26,19,0,,9.9,Kenton East,2,164,0.333333333,0.461538462,0.166666667,,0,,0,0,,0.5,,0,0,,1,,,,,,1,,,,1,1,,1,0,,,0,0,,0,0,1,0,0,,1,0,0,0,,,0,,,0,,1,0
-13,19,0,,9.9,Garden Suburb,2,194,5.538461538,0.536796537,0.455151964,0.461538462,0.41025641,0.46875,0.094339623,0.055555556,0.731707317,0.566666667,0.59375,0.243902439,0.129032258,0.771428571,0.705882353,0.791666667,0.552631579,0.297297297,0.607142857,0.72972973,0.666666667,0.5,0.515151515,0.696969697,0.8125,0.754716981,0.617647059,0.65625,0.611111111,0.441176471,0.326923077,0.041666667,0.041666667,0.613636364,0.64,0.476190476,0.3,0.213114754,0.50877193,0.64,0.517857143,0.450980392,0.261538462,0.50877193,0.538461538,0.589285714,0.444444444,0.431372549,0.536585366,0.581818182,0.717391304,0.607843137,0.44
-7,19,0,,9.9,Muswell Hill,2,575,6.166666667,0.548387097,0.4688,0.791666667,0.684210526,0.565217391,0.086956522,0.045454545,0.666666667,0.5,0.666666667,0.333333333,0.111111111,0.545454545,0.75,0.533333333,0.45,0.588235294,0.65,0.647058824,0.785714286,0.652173913,0.333333333,0.666666667,0.833333333,0.764705882,0.75,0.6,0.533333333,0.384615385,0.448275862,0.038461538,0.041666667,0.666666667,0.481481481,0.552631579,0.235294118,0.25,0.6,0.6,0.448275862,0.548387097,0.380952381,0.5,0.466666667,0.5,0.307692308,0.37037037,0.6,0.703703704,0.722222222,0.555555556,0.655172414
-4,19,0,,9.9,Hornsey,2,576,7.5,0.468421053,0.416666667,0.5,0.8,0.555555556,0,0,0.833333333,0.333333333,0.4,0.25,0.166666667,0.555555556,0.5,0.5,0.416666667,0.5,0.5,0.75,0.5,0.428571429,0.555555556,0.75,0.666666667,0.4,0.625,0.777777778,0.416666667,0.25,0.1,0,0.071428571,0.583333333,0.428571429,0.363636364,0.444444444,0.166666667,0.444444444,0.666666667,0.416666667,0.666666667,0.142857143,0.4375,0.588235294,0.692307692,0.466666667,0.545454545,0.818181818,0.5,0.5,0.25,0.538461538
-3,19,0,,9.9,Harringay,5,570,8.571428571,0.58984375,0.432179607,0.4375,0.548387097,0.481481481,0,0.058823529,0.757575758,0.736842105,0.638888889,0.318181818,0.272727273,0.75,0.678571429,0.861111111,0.482758621,0.625,0.69047619,0.692307692,0.705882353,0.608695652,0.708333333,0.885714286,0.7,0.72,0.666666667,0.757575758,0.5,0.32,0.473684211,0.064516129,0.058823529,0.538461538,0.604166667,0.5,0.266666667,0.216216216,0.457142857,0.451612903,0.577777778,0.307692308,0.395833333,0.384615385,0.5,0.511111111,0.577777778,0.414634146,0.531914894,0.651162791,0.537037037,0.4,0.542857143
0,19,0,,9.9,Tottenham Green,6,582,4.4,0.538181818,0.46898263,0.692307692,0.375,0.090909091,0.076923077,0.076923077,0.833333333,0.454545455,0.636363636,0.533333333,0.166666667,0.75,0.545454545,0.416666667,0.75,0.555555556,0.642857143,0.75,0.5,0.777777778,0.538461538,0.777777778,0.75,0.727272727,0.583333333,0.9,0.5,0.5,0.230769231,0.117647059,0,0.545454545,0.571428571,0.2,0.357142857,0.235294118,0.6,0.722222222,0.642857143,0.631578947,0.35,0.733333333,0.375,0.5,0.473684211,0.5,0.714285714,0.421052632,0.588235294,0.538461538,0.583333333
5,19,0,,9.9,High Street,2,329,2.909090909,0.545454545,0.421052632,0.666666667,0.5625,0.782608696,0.235294118,0,0.631578947,0.5,0.533333333,0.315789474,0.352941176,0.75,0.466666667,0.428571429,0.590909091,0.5,0.791666667,0.619047619,0.764705882,0.571428571,0.409090909,0.625,0.571428571,0.727272727,0.352941176,0.695652174,0.382352941,0.2,0.380952381,0.043478261,0,0.606060606,0.4,0.388888889,0.275862069,0.25,0.476190476,0.6,0.4,0.346153846,0.428571429,0.578947368,0.53125,0.636363636,0.590909091,0.52173913,0.5,0.62962963,0.473684211,0.448275862,0.434782609
8,19,0,,9.9,Hoe Street,4,339,1,0.507246377,0.383561644,0.5,0.333333333,0,0,0,0.75,,0.666666667,0.5,0,0.5,0.333333333,1,,1,1,0.5,1,0.5,0.5,0,0.833333333,0.4,0.5,0.5,0,0.666666667,0.333333333,0,0,1,0,0.4,0.333333333,0.5,0.5,1,1,0,0,0,0.333333333,1,0.25,0.5,0,0.75,0.333333333,0.6,0.666666667
-41,18,0,,9.9,Eastcote and East Ruislip,1.5,137,0.833333333,0.447368421,0.446808511,0.125,0.2,0.428571429,0,0,0,1,0.6,0.166666667,0,1,0.333333333,1,0.333333333,0.285714286,0.571428571,0.833333333,0.571428571,0,0.5,1,0.666666667,1,0.25,1,0.1,0.363636364,0.285714286,0,0,0.428571429,0.571428571,0,0.416666667,0.333333333,0.8,0.444444444,0.615384615,0.5,0.75,0.142857143,0.25,0.625,1,0.4,0.833333333,0.571428571,0.6,0.5,0.6
-30,18,0,,9.9,Greenhill,5,150,0.25,0.941176471,0.555555556,1,,1,,,1,,,,0,1,1,1,,1,,1,,1,,1,,,1,,,,,,0,0.5,,,1,,,,,0,,,1,0,1,,,,1,,
-26,18,0,,9.9,Kenton,2,183,0.142857143,0.5,0.3125,,0,,,0,1,1,,,0,,,,1,0,,1,,,,0.75,1,0,,,0,0,0,0,0,,,1,0,,0.5,0,,,,,0,,,1,0,,,0,1
-22,18,0,,9.9,Fryent,2,173,0.857142857,0.455696203,0.401459854,0.4,0.333333333,0,0,0,1,0,,0.333333333,0.285714286,0.8,0.75,,0,0,0.75,0.75,0.5,0.75,0,1,0.5,0.714285714,0,1,0.25,0,0.222222222,0,0,0.5,0.666666667,0.2,0,0.333333333,0.5,0.666666667,0.5,0.333333333,0.5,0.875,0.5,0.3,0.333333333,1,0.666666667,1,0.666666667,0.5,0
-18,18,0,,9.9,West Hendon,2,190,1.5,0.51758794,0.449799197,0.8,0.25,0.285714286,0,0,0.416666667,0.666666667,0.75,0.625,0,0.5,0.833333333,0.625,0.6,0.666666667,0.7,0.5,0.428571429,0.75,0.4,0.7,1,0.727272727,0.5,0.666666667,0.181818182,0.333333333,0.222222222,0,0.166666667,0.470588235,0.307692308,0.5,0.166666667,0.333333333,0.642857143,0.857142857,0.8,0.333333333,0.428571429,0.375,0.555555556,1,0.470588235,0.666666667,0.642857143,0.375,0.363636364,0.545454545,0.571428571
-15,18,0,,9.9,Golders Green,2,191,2.6,0.547486034,0.428571429,0.5625,0.5,0.428571429,0,0.222222222,0.833333333,0.526315789,0.428571429,0.3125,0.352941176,0.684210526,0.789473684,0.5,0.5625,0.571428571,0.65,0.636363636,0.5625,0.555555556,0.666666667,0.5,0.666666667,0.571428571,0.769230769,0.923076923,0.5,0.304347826,0.263157895,0,0.041666667,0.4,0.428571429,0.5,0,0.083333333,0.625,0.538461538,0.5625,0.454545455,0.393939394,0.5625,0.684210526,0.52173913,0.611111111,0.444444444,0.647058824,0.6,0.714285714,0.526315789,0.5
-8,18,0,,9.9,Highgate,2,569,11.22222222,0.605992509,0.424120023,0.612244898,0.549019608,0.448979592,0.039215686,0.1,0.68627451,0.632653061,0.62,0.5,0.5,0.676056338,0.698113208,0.722222222,0.542372881,0.660377358,0.666666667,0.711538462,0.764705882,0.588235294,0.555555556,0.763636364,0.796610169,0.714285714,0.771929825,0.685185185,0.421875,0.358024691,0.355932203,0.048780488,0.025,0.52,0.446428571,0.567901235,0.322580645,0.242857143,0.583333333,0.650793651,0.484848485,0.390625,0.337837838,0.555555556,0.515625,0.483333333,0.378787879,0.394366197,0.545454545,0.61038961,0.637681159,0.426470588,0.408450704
